City,Job Wage (Avg),Number of Jobs,ID,Population,Household Income (Avg)
"Albany, GA",66783.33333333333,320.0,10500,152440,
"Ames, IA",69296.66666666667,600.0,11180,96816,
"Anaheim-Santa Ana-Irvine, CA ",91886.25,35420.0,31080,13328261,
"Anchorage, AK",84437.14285714286,1840.0,11260,401499,
"Anniston-Oxford-Jacksonville, AL",59123.333333333336,140.0,11500,114980,
"Athens-Clarke County, GA",58252.0,510.0,12020,205421,
"Atlanta-Sandy Springs-Roswell, GA",78686.66666666667,60090.0,12060,5795723,
"Auburn-Opelika, AL",61960.0,70.0,12220,158983,
"Augusta-Richmond County, GA-SC",74331.25,1640.0,12260,594889,
"Bakersfield, CA",82796.25,2630.0,12540,885086,
"Birmingham-Hoover, AL",79627.77777777778,5820.0,13820,1146888,
"Bloomington, IL",77565.0,3090.0,14010,188847,
"Boise City, ID",70000.0,3950.0,14260,690810,
"Boulder, CO",83103.75,3750.0,14500,321173,
"Bridgeport-Stamford-Norwalk, CT",84940.0,11380.0,14860,949191,
"Brunswick, GA",70600.0,310.0,15260,116955,
"Cape Coral-Fort Myers, FL",70350.0,1590.0,15980,722506,
"Carbondale-Marion, IL",61655.0,100.0,16060,126672,
"Cedar Rapids, IA",76723.33333333333,2120.0,16300,267925,
"Champaign-Urbana, IL",77963.33333333333,790.0,16580,239135,
"Chicago-Naperville-Arlington Heights, IL ",74157.77777777778,82500.0,16980,9546326,
"Chico, CA",65844.0,690.0,17020,226525,
"Coeur d'Alene, ID",64553.333333333336,320.0,17660,153144,
"Colorado Springs, CO",86667.5,4690.0,17820,710746,
"Columbus, GA-AL",66273.33333333333,770.0,17980,306712,
"Crestview-Fort Walton Beach-Destin, FL",77318.57142857143,2140.0,18880,265355,
"Dalton, GA",80120.0,540.0,19140,144074,
"Danville, IL",79390.0,90.0,19180,78560,
"Daphne-Fairhope-Foley, AL",62445.0,250.0,19300,207509,
"Davenport-Moline-Rock Island, IA-IL",72134.28571428571,910.0,19340,382671,
"Decatur, AL",76485.0,100.0,19460,152051,
"Decatur, IL",52980.0,0.0,19500,106651,
"Deltona-Daytona Beach-Ormond Beach, FL",63724.28571428572,1430.0,19660,636843,
"Denver-Aurora-Lakewood, CO",88827.5,28440.0,19740,2851848,
"Des Moines-West Des Moines, IA",76255.0,9020.0,19780,634740,
"Dothan, AL",64540.0,100.0,20020,147781,
"Dover, DE",71961.66666666667,620.0,20100,174754,
"Dubuque, IA",68457.5,580.0,20220,96704,
"El Centro, CA",66406.66666666667,350.0,20940,180980,
"Fairbanks, AK",70800.0,200.0,21820,100602,
"Fayetteville-Springdale-Rogers, AR-MO",73931.42857142857,3350.0,22220,525176,
"Flagstaff, AZ",66902.5,560.0,22380,140079,
"Florence-Muscle Shoals, AL",58400.0,70.0,22520,146646,
"Fort Collins, CO",80602.85714285714,1800.0,22660,338531,
"Fort Smith, AR-OK",56897.5,410.0,22900,281032,
"Fresno, CA",72871.25,2920.0,23420,979534,
"Gadsden, AL",59840.0,40.0,23460,102726,
"Gainesville, FL",70638.33333333333,1370.0,23540,281551,
"Gainesville, GA",82042.5,490.0,23580,196237,
"Grand Junction, CO",73413.33333333333,300.0,24300,149794,
"Greeley, CO",85780.0,490.0,24540,294243,
"Hanford-Corcoran, CA",69926.66666666667,230.0,25260,149797,
"Hartford-West Hartford-East Hartford, CT",89456.25,13890.0,25540,1210075,
"Hinesville, GA",69980.0,170.0,25980,79984,
"Homosassa Springs, FL",0.0,70.0,26140,142990,
"Huntsville, AL",89672.85714285714,5230.0,26620,449232,
"Idaho Falls, ID",82608.0,570.0,26820,142405,
"Iowa City, IA",70955.0,840.0,26980,168742,
"Jacksonville, FL",72095.0,11230.0,27260,1476503,
"Jonesboro, AR",52293.333333333336,170.0,27860,129789,
"Kahului-Wailuku-Lahaina, HI",66596.66666666667,200.0,27980,165472,
"Lake Havasu City-Kingman, AZ",74650.0,110.0,29420,205385,
"Lakeland-Winter Haven, FL",68832.85714285714,2010.0,29460,667018,
"Lewiston, ID-WA",65340.0,30.0,30300,62406,
"Little Rock-North Little Rock-Conway, AR",66801.25,6090.0,30780,733461,
"Macon, GA",63651.666666666664,1070.0,31420,229163,
"Madera, CA",65283.333333333336,170.0,31460,154966,
